EPISODE_ID,BEGIN_DATE,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO
13053,2008-01-29 19:15:00,2008-01-29 20:35:00,0.88,0,0,0,0,0,0,2,3
1211288,2006-05-25 16:50:00,2006-05-25 16:50:00,1.75,0,0,0,0,0,0,0,0
5679,2007-05-15 13:45:00,2007-05-15 14:20:00,0.75,0,0,0,0,0,0,0,3
89004,2014-08-17 05:00:00,2014-08-17 11:00:00,0,0,1,0,0,0,0,0,0
55093,2011-09-04 04:32:00,2011-09-04 04:32:00,0,0,0,0,0,0,0,0,3
40444,2010-05-31 15:24:00,2010-05-31 19:50:00,0.88,0,3,0,0,0,0,0,3
1219747,2006-09-06 16:45:00,2006-09-06 17:00:00,1.0,0,0,0,0,0,0,0,0
103761,2016-03-12 11:00:00,2016-03-23 08:00:00,0,0,2,0,0,0,0,0,0
97878,2015-06-18 15:45:00,2015-06-18 19:00:00,0,0,3,0,0,0,0,0,0
86664,2014-07-26 13:20:00,2014-07-26 14:49:00,2.0,0,0,0,0,0,0,0,0
97871,2015-06-08 15:20:00,2015-06-08 20:00:00,1.5,0,0,0,0,0,0,0,3
97872,2015-06-10 20:25:00,2015-06-10 20:50:00,1.0,0,0,0,0,0,0,0,3
89482,2014-10-06 18:44:00,2014-10-06 19:25:00,1.0,0,0,0,0,0,0,0,0
79617,2013-09-11 17:05:00,2013-09-11 17:28:00,0,0,0,0,0,0,0,0,3
1207569,2006-04-07 16:55:00,2006-04-07 16:55:00,1.0,0,0,0,0,0,0,0,0
32476,2009-07-31 01:11:00,2009-07-31 03:26:00,0,0,3,0,0,0,0,0,0
23241,2008-09-14 07:00:00,2008-09-17 12:00:00,0,0,3,0,0,0,0,0,0
29885,2009-05-08 13:05:00,2009-05-08 14:58:00,0,0,1,0,0,0,0,0,3
50689,2011-04-26 02:40:00,2011-04-27 04:15:00,1.0,0,3,0,0,0,0,0,3
50685,2011-04-19 08:21:00,2011-04-19 12:08:00,1.75,0,3,0,0,0,0,0,0
1212599,2006-06-21 17:29:00,2006-06-21 17:58:00,1.5,0,0,0,0,0,0,0,3
19339,2008-06-04 15:00:00,2008-06-21 08:31:00,0,0,2,0,0,0,0,0,0
19338,2008-06-01 05:00:00,2008-06-20 15:00:00,0,0,2,0,0,0,0,0,0
1188729,2005-05-11 14:40:00,2005-05-11 21:12:00,2.5,0,3,0,0,0,0,0,3
55271,2011-08-07 03:26:00,2011-08-07 04:30:00,0,0,3,0,0,0,0,0,0
19337,2008-06-01 00:00:00,2008-06-16 07:20:00,0,0,2,0,0,0,0,0,0
86252,2014-05-27 19:04:00,2014-05-27 19:05:00,0,0,0,0,0,0,0,0,3
15336,2008-04-03 20:00:00,2008-04-04 02:00:00,0,0,3,0,0,0,0,0,0
86256,2014-05-26 17:30:00,2014-05-26 17:31:00,0,0,0,0,0,0,0,0,3
60860,2012-02-01 00:00:00,2012-02-08 05:00:00,0,0,2,0,0,0,0,0,0
96427,2015-06-20 08:00:00,2015-06-30 23:59:00,0,0,2,0,0,0,0,0,0
76832,2013-06-01 01:07:00,2013-06-01 02:26:00,0,0,0,0,0,0,0,0,3
6752,2007-06-27 16:30:00,2007-06-27 16:30:00,0.75,0,0,0,0,0,0,0,0
96428,2015-05-30 12:21:00,2015-05-30 19:48:00,1.0,0,3,0,0,0,0,2,3
26440,2009-02-11 22:00:00,2009-02-24 20:00:00,0,0,2,0,0,0,0,0,0
1197575,2005-08-28 20:25:00,2005-08-28 21:30:00,0,0,3,0,0,0,0,0,0
55651,2011-08-07 09:58:00,2011-08-07 20:31:00,1.75,0,0,0,0,0,0,0,3
51338,2011-04-19 20:06:00,2011-04-20 03:00:00,1.75,0,3,0,0,0,0,2,3
1197573,2005-08-26 02:00:00,2005-08-26 07:00:00,0,0,3,0,0,0,0,0,0
16215,2008-05-13 07:52:00,2008-05-24 06:15:00,0,0,2,0,0,0,0,0,0
16214,2008-05-30 18:10:00,2008-05-31 01:30:00,1.75,0,3,0,0,0,0,2,3
16213,2008-05-11 06:00:00,2008-05-11 16:45:00,0,0,0,0,0,0,0,1,3
51802,2011-06-19 06:31:00,2011-06-19 07:33:00,0,0,0,0,0,0,0,1,3
56304,2011-07-30 10:22:00,2011-07-30 12:30:00,0,0,2,0,0,0,0,0,0
1204377,2006-02-16 16:31:00,2006-02-16 16:38:00,1.0,0,0,0,0,0,0,0,0
74477,2013-07-01 18:36:00,2013-07-01 23:30:00,0,0,3,0,0,0,0,0,0
1210748,2006-05-18 11:05:00,2006-05-18 14:19:00,1.75,0,0,0,0,0,0,0,3
12056,2007-11-02 06:45:00,2007-11-02 06:45:00,0,0,0,0,0,0,0,0,0
1215481,2006-07-26 20:02:00,2006-07-26 20:05:00,0.88,0,0,0,0,0,0,0,3
12690,2007-12-15 17:30:00,2007-12-19 11:30:00,0,0,2,0,0,0,0,0,0
56271,2011-07-11 18:55:00,2011-07-11 20:35:00,1.75,0,0,0,0,0,0,0,3
56275,2011-07-24 14:15:00,2011-07-24 14:15:00,0,0,0,0,0,0,0,0,3
56274,2011-07-20 15:15:00,2011-07-20 17:10:00,0,0,0,0,0,0,0,0,3
56276,2011-07-26 17:50:00,2011-07-26 17:50:00,0,0,0,0,0,0,0,0,3
1210467,2006-05-24 16:59:00,2006-05-24 18:09:00,1.0,0,0,0,0,0,0,0,3
27228,2009-04-02 15:57:00,2009-04-02 16:01:00,0.75,0,0,0,0,0,0,0,0
53179,2011-06-30 17:34:00,2011-06-30 17:56:00,1.0,0,0,0,0,0,0,0,0
1216700,2006-07-21 14:00:00,2006-07-21 14:00:00,0,0,0,0,0,0,0,0,3
1216704,2006-07-21 14:20:00,2006-07-21 14:35:00,0,0,0,0,0,0,0,0,3
4507,2007-06-08 12:09:00,2007-06-08 12:48:00,0.75,0,0,0,0,0,0,0,3
1198927,2005-09-19 17:05:00,2005-09-19 22:50:00,0.75,0,0,0,0,0,0,0,3
1198926,2005-09-15 19:45:00,2005-09-15 19:58:00,0,0,0,0,0,0,0,1,3
1198925,2005-09-23 16:24:00,2005-09-23 16:39:00,1.75,0,0,0,0,0,0,0,3
1198924,2005-09-24 03:45:00,2005-09-24 06:00:00,0,0,3,0,0,0,0,0,0
90914,2014-10-13 18:38:00,2014-10-13 19:50:00,0,0,0,0,0,0,0,0,3
90913,2014-10-07 12:05:00,2014-10-07 17:36:00,1.0,0,0,0,0,0,0,1,0
98134,2015-07-13 23:15:00,2015-07-13 23:17:00,0,0,0,0,0,0,0,0,3
57250,2011-08-24 19:16:00,2011-08-24 22:51:00,1.75,0,0,0,0,0,0,0,3
43164,2010-07-15 13:12:00,2010-07-15 13:54:00,0,0,0,0,0,0,0,0,3
104117,2016-04-26 15:31:00,2016-04-26 18:30:00,1.0,0,2,0,0,0,0,2,3
85276,2014-06-23 15:50:00,2014-06-23 17:15:00,0,0,0,0,0,0,0,0,3
57324,2011-09-18 16:00:00,2011-09-18 18:00:00,0,0,1,0,0,0,0,0,0
93816,2015-04-07 07:28:00,2015-04-07 16:54:00,1.0,0,3,0,0,0,0,2,3
93817,2015-04-08 14:50:00,2015-04-08 14:50:00,0.75,0,0,0,0,0,0,0,0
52570,2011-06-18 02:57:00,2011-06-18 02:57:00,0.75,0,0,0,0,0,0,0,0
10691,2007-10-18 05:30:00,2007-10-18 21:30:00,1.75,0,0,0,0,0,0,0,3
17011,2008-05-30 22:29:00,2008-05-31 00:40:00,0,0,0,0,0,0,0,0,3
36570,2010-03-12 14:21:00,2010-03-12 15:25:00,1.0,0,0,0,0,0,0,0,0
38908,2010-05-07 19:35:00,2010-05-07 19:40:00,0,0,0,0,0,0,0,0,3
49191,2011-03-07 03:45:00,2011-03-19 17:55:00,0,0,2,0,0,0,0,0,0
2406,2007-01-28 00:00:00,2007-01-31 00:00:00,0,0,2,0,0,0,0,0,0
4980,2007-05-02 13:54:00,2007-05-02 18:00:00,0.88,0,3,0,0,0,0,0,0
2404,2007-01-13 15:15:00,2007-01-17 10:02:00,0,0,2,0,0,0,0,0,0
2405,2007-01-14 21:30:00,2007-01-23 11:49:00,0,0,2,0,0,0,0,0,0
2403,2007-01-01 00:00:00,2007-01-23 08:52:00,0,0,2,0,0,0,0,0,0
53954,2011-07-01 00:00:00,2011-07-02 18:00:00,0,0,2,0,0,0,0,0,0
2408,2007-01-01 00:00:00,2007-01-27 10:27:00,0,0,2,0,0,0,0,0,0
2409,2007-01-14 15:00:00,2007-01-19 05:24:00,0,0,2,0,0,0,0,0,0
105407,2016-06-22 07:25:00,2016-06-23 16:35:00,1.0,0,0,0,0,0,0,0,3
54208,2011-08-18 17:55:00,2011-08-18 17:55:00,0,0,0,0,0,0,0,0,3
1207555,2006-04-07 17:10:00,2006-04-07 17:10:00,0.75,0,0,0,0,0,0,0,0
1207554,2006-04-07 17:40:00,2006-04-07 17:46:00,1.0,0,0,0,0,0,0,0,0
1207552,2006-04-07 17:01:00,2006-04-07 17:06:00,0.75,0,0,0,0,0,0,0,0
229,2006-11-16 13:30:00,2006-11-24 22:00:00,0,0,2,0,0,0,0,0,0
60590,2012-01-17 10:21:00,2012-01-17 11:21:00,0,0,2,0,0,0,0,0,0
41091,2010-06-11 08:05:00,2010-06-11 09:10:00,0,0,3,0,0,0,0,0,0
63084,2012-05-05 01:01:00,2012-05-05 01:01:00,1.5,0,0,0,0,0,0,0,0
63080,2012-05-04 13:00:00,2012-05-04 13:05:00,1.0,0,0,0,0,0,0,0,3
95733,2015-05-27 11:50:00,2015-05-27 13:36:00,1.0,0,0,0,0,0,0,0,3
54689,2011-06-21 12:02:00,2011-06-21 18:45:00,0,0,0,0,0,0,0,0,3
