EPISODE_ID,DURACION,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES,ZONA,CLASE,RIESGO
85736,4.25,0.88,38.0460333333,3,-87.4268833333,0,34.6100420026,0,0,0,0,3,6,no
6345,12.6166666667,0.0,38.55242,0,-86.05958,0,60.9791411178,0,0,3,0,1,1,si
90902,10.5833333333,0.88,41.270135,0,-87.26221,0,88.1193942293,0,0,3,0,0,4,no
56061,3.08333333333,1.0,41.3478,0,-85.31375,0,97.3677770006,0,0,3,0,4,1,no
87359,1.1,1.75,41.5775,0,-86.4,0,21.5931744186,0,0,0,0,13,2,no
63418,7.43333333333,0.88,39.235,0,-86.75,0,133.22610508,0,0,3,0,7,5,si
63789,0.866666666667,1.0,37.9048833333,1,-87.2166666667,0,39.909006027,0,0,3,0,3,2,no
51146,1.4,1.0,38.3838045455,0,-86.1646772727,0,94.8457727432,0,0,3,0,1,1,si
1184629,3.85,0.0,40.4733333333,3,-85.3266666667,0,40.9172754848,0,0,0,0,8,4,no
48336,63.9833333333,0.0,38.100375,2,-87.7479,0,47.709067247,0,0,0,0,3,7,si
1183675,4.53333333333,0.0,39.37,3,-87.48,0,2.17697331186,0,0,0,0,6,1,no
1183674,6.18333333333,0.0,39.1,3,-87.67,0,2.17697331186,0,0,0,0,6,1,no
1183673,3.5,0.0,39.47,3,-87.4,0,2.17697331186,0,0,0,0,6,1,no
1183672,81.95,0.0,40.084,3,-86.225,0,208.768214243,0,0,0,0,2,1,si
90125,1.25,0.0,38.3295,1,-87.5961,0,3.21868,0,0,0,0,3,8,no
54211,11.0,1.75,39.449856,3,-86.181942,0,115.850907753,0,0,3,0,9,4,si
54213,3.5,0.0,38.6830166667,3,-87.0694833333,0,51.7109005184,0,0,0,0,6,1,no
1196285,2.5,0.0,41.6775,0,-85.825,0,105.331248218,0,0,3,0,4,1,no
1196286,7.68333333333,1.0,41.2527777778,0,-86.1119444444,0,137.465712371,0,0,3,0,13,4,no
1196281,0.966666666667,0.0,41.4766666667,0,-85.5233333333,0,37.673269552,0,0,3,0,4,1,no
54694,7.31666666667,0.75,39.4328,0,-86.4278,0,161.381912061,0,0,0,0,7,1,no
68941,2.26666666667,1.75,39.8041157895,0,-86.3363929825,0,106.897204561,0,0,3,1,9,5,si
90725,8.78333333333,0.0,41.1164,2,-85.2698,0,6.75447030965,0,0,2,0,8,3,no
1205786,3.0,0.0,38.3,3,-87.58,0,2.17697331186,0,0,0,0,3,6,no
1205787,3.0,0.0,38.03,3,-87.85,0,2.17697331186,0,0,0,0,3,6,no
1205788,2.95,0.0,38.03,3,-87.6,0,2.17697331186,0,0,0,0,3,6,no
1205789,2.66666666667,0.0,37.95,3,-87.42,0,2.17697331186,0,0,0,0,3,6,no
59800,12.0,0.0,38.1341,2,-87.93455,0,1.22448987611,0,0,0,0,3,7,si
12932,2.96666666667,0.0,41.5537666667,0,-85.8641083333,0,115.262287726,0,0,3,0,4,1,no
26837,0.366666666667,0.0,39.102675,0,-85.228575,0,24.3407226511,0,2,3,0,5,3,si
59155,17.5166666667,0.0,38.490325,2,-86.12393125,0,106.157690397,0,1,3,0,1,2,si
5462,1.66666666667,0.0,38.10725,1,-87.78,0,2.63081267288,0,0,3,0,3,2,no
28533,2.5,0.0,39.425575,3,-87.28715,0,39.3112670499,0,0,0,0,6,1,no
28531,1.35,1.75,38.99,0,-85.9942857143,0,72.1305743198,0,0,0,0,11,3,no
28530,0.75,0.0,39.8654,2,-85.8675,0,2.54271907055,0,0,0,0,9,1,si
48598,7.48333333333,1.0,39.4662777778,0,-85.1876777778,0,62.3721927652,0,0,0,0,12,1,no
14186,29.6666666667,0.0,39.060475,2,-87.610325,0,14.7456180847,0,0,0,0,6,1,no
30771,7.41666666667,1.75,39.4874083333,0,-84.964325,0,107.751139133,0,0,0,0,12,1,no
1197265,3.68333333333,0.75,40.16,0,-86.395,0,124.295745093,0,0,3,0,2,3,si
28408,4.46666666667,0.75,41.4715315789,0,-85.8054157895,0,100.060900293,0,0,3,0,4,1,no
2986,0.666666666667,1.0,38.06875,0,-87.262475,0,39.8367820936,0,0,3,0,3,3,no
39560,1.18333333333,0.0,41.2266555556,0,-85.6824166667,0,153.489756504,0,1,3,0,4,3,no
1208070,2.4,0.88,39.5068604651,0,-86.6030232558,0,185.65169203,0,2,3,0,7,4,no
89825,17.6666666667,0.0,40.8282875,3,-86.1104375,0,103.667561552,0,0,3,0,13,5,no
27710,5.16666666667,0.0,41.4647166667,2,-87.2646166667,0,29.6146378966,0,0,0,0,0,1,no
1208094,5.2,2.0,39.355,2,-85.0922727273,0,47.7438844575,0,0,3,0,5,3,si
8282,0.366666666667,0.75,38.985,0,-84.97,0,13.9177533244,0,0,3,0,5,3,si
