EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
380774,63593,Thunderstorm Wind,28-JUN-12 19:10:00,28-JUN-12 19:11:00,0,0,0,0,0.00K,0.00K,60.0,,41.32,-86.89,41.32,-86.89
380775,63593,Thunderstorm Wind,28-JUN-12 19:25:00,28-JUN-12 19:26:00,0,0,0,0,0.00K,0.00K,60.0,,41.22,-86.78,41.22,-86.78
380776,63593,Thunderstorm Wind,28-JUN-12 19:32:00,28-JUN-12 19:33:00,0,0,0,0,0.00K,0.00K,60.0,,41.15,-86.71,41.15,-86.71
363699,60866,Dense Fog,17-FEB-12 04:00:00,17-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
363700,60866,Dense Fog,17-FEB-12 04:00:00,17-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
363701,60866,Dense Fog,17-FEB-12 04:00:00,17-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
363702,60866,Dense Fog,17-FEB-12 04:00:00,17-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
363703,60866,Dense Fog,17-FEB-12 04:00:00,17-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
363704,60866,Dense Fog,17-FEB-12 04:00:00,17-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
386280,64537,Thunderstorm Wind,16-JUN-12 18:00:00,16-JUN-12 18:01:00,0,0,0,0,0.00K,0.00K,55.0,,41.28,-84.92,41.28,-84.92
386281,64537,Thunderstorm Wind,16-JUN-12 18:32:00,16-JUN-12 18:33:00,0,0,0,0,0.00K,0.00K,55.0,,40.35,-85.15,40.35,-85.15
375081,62725,Hail,01-APR-12 22:20:00,01-APR-12 22:24:00,0,0,0,0,,,0.75,,39.4,-84.87,39.4,-84.87
375082,62725,Hail,01-APR-12 22:39:00,01-APR-12 22:43:00,0,0,0,0,,,0.88,,39.2603,-84.822,39.2603,-84.822
367867,61480,Hail,23-MAR-12 16:50:00,23-MAR-12 16:52:00,0,0,0,0,0.00K,0.00K,1.0,,40.92,-87.42,40.92,-87.42
367869,61480,Hail,23-MAR-12 17:52:00,23-MAR-12 17:53:00,0,0,0,0,0.00K,0.00K,0.75,,40.73,-87.48,40.73,-87.48
380948,63631,Thunderstorm Wind,20-MAY-12 22:42:00,20-MAY-12 22:43:00,0,0,0,0,0.00K,0.00K,50.0,,41.08,-86.16,41.08,-86.16
380949,63631,Thunderstorm Wind,20-MAY-12 22:45:00,20-MAY-12 22:46:00,0,0,0,0,0.00K,0.00K,55.0,,41.05,-86.15,41.05,-86.15
376982,62998,Hail,30-APR-12 16:53:00,30-APR-12 16:54:00,0,0,0,0,0.00K,0.00K,1.0,,40.7,-85.28,40.7,-85.28
376983,62998,Hail,30-APR-12 16:58:00,30-APR-12 16:59:00,0,0,0,0,0.00K,0.00K,0.88,,40.74,-85.17,40.74,-85.17
376984,62998,Hail,30-APR-12 17:00:00,30-APR-12 17:01:00,0,0,0,0,0.00K,0.00K,1.0,,40.74,-85.17,40.74,-85.17
386261,64537,Thunderstorm Wind,16-JUN-12 15:15:00,16-JUN-12 15:16:00,0,0,0,0,0.00K,0.00K,50.0,,41.53,-86.43,41.53,-86.43
386262,64537,Thunderstorm Wind,16-JUN-12 15:43:00,16-JUN-12 15:44:00,0,0,0,0,0.00K,0.00K,55.0,,41.12,-86.39,41.12,-86.39
369781,61818,High Wind,16-APR-12 12:45:00,16-APR-12 12:45:00,0,0,0,0,0.00K,0.00K,52.0,,,,,
376985,62998,Thunderstorm Wind,30-APR-12 16:39:00,30-APR-12 16:40:00,0,0,0,0,0.00K,0.00K,55.0,,40.68,-85.43,40.68,-85.43
386271,64537,Thunderstorm Wind,16-JUN-12 15:46:00,16-JUN-12 15:47:00,0,0,0,0,0.00K,0.00K,55.0,,41.05,-86.27,41.05,-86.27
386277,64537,Thunderstorm Wind,16-JUN-12 15:47:00,16-JUN-12 15:48:00,0,0,0,0,0.00K,0.00K,55.0,,41.06,-86.21,41.06,-86.21
386279,64537,Thunderstorm Wind,16-JUN-12 15:48:00,16-JUN-12 15:49:00,0,0,0,0,0.00K,0.00K,55.0,,41.06,-86.2,41.06,-86.2
381307,63722,Hail,01-MAY-12 15:59:00,01-MAY-12 16:03:00,0,0,0,0,,,1.0,,39.1512,-84.916,39.1512,-84.916
381308,63722,Hail,01-MAY-12 16:03:00,01-MAY-12 16:07:00,0,0,0,0,,,1.0,,39.17,-84.92,39.17,-84.92
381309,63722,Hail,01-MAY-12 16:10:00,01-MAY-12 16:14:00,0,0,0,0,,,1.0,,39.22,-84.85,39.22,-84.85
380779,63593,Thunderstorm Wind,28-JUN-12 21:05:00,28-JUN-12 21:06:00,0,0,0,0,0.00K,0.00K,55.0,,41.1,-86.27,41.1,-86.27
380780,63593,Thunderstorm Wind,28-JUN-12 21:10:00,28-JUN-12 21:11:00,0,0,0,0,0.00K,0.00K,55.0,,40.95,-86.38,40.95,-86.38
380781,63593,Thunderstorm Wind,28-JUN-12 21:20:00,28-JUN-12 21:21:00,0,0,0,0,0.00K,0.00K,65.0,,40.87,-86.23,40.8606,-86.215
381324,63722,Thunderstorm Wind,01-MAY-12 16:50:00,01-MAY-12 16:51:00,0,0,0,0,,,61.0,,39.1,-84.85,39.1,-84.85
380777,63593,Thunderstorm Wind,28-JUN-12 19:40:00,28-JUN-12 19:41:00,0,0,0,0,0.00K,0.00K,60.0,,41.1,-86.66,41.1,-86.66
380778,63593,Thunderstorm Wind,28-JUN-12 21:00:00,28-JUN-12 21:01:00,0,0,0,0,0.00K,0.00K,55.0,,41.02,-86.41,41.02,-86.41
380782,63593,Thunderstorm Wind,28-JUN-12 21:20:00,28-JUN-12 21:21:00,0,0,0,0,0.00K,0.00K,60.0,,40.88,-86.23,40.88,-86.23
380783,63593,Thunderstorm Wind,28-JUN-12 21:29:00,28-JUN-12 21:30:00,0,0,0,0,0.00K,0.00K,55.0,,40.82,-86.12,40.82,-86.12
390942,65279,Hail,16-JUN-12 14:45:00,16-JUN-12 14:50:00,0,0,0,0,0.00K,0.00K,1.0,,41.48,-87.33,41.48,-87.33
390945,65279,Hail,16-JUN-12 15:34:00,16-JUN-12 15:36:00,0,0,0,0,0.00K,0.00K,0.75,,41.1859,-87.4481,41.1859,-87.4481
391027,65279,Thunderstorm Wind,16-JUN-12 20:05:00,16-JUN-12 20:05:00,0,0,0,0,0.00K,0.00K,50.0,,41.32,-87.14,41.32,-87.14
386268,64537,Thunderstorm Wind,16-JUN-12 15:45:00,16-JUN-12 15:46:00,0,0,0,0,0.00K,0.00K,55.0,,41.11,-86.25,41.11,-86.25
386269,64537,Thunderstorm Wind,16-JUN-12 15:46:00,16-JUN-12 15:47:00,0,0,0,0,0.00K,0.00K,55.0,,41.05,-86.24,41.05,-86.24
356268,59620,Winter Weather,04-FEB-12 02:00:00,04-FEB-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
386550,64613,Hail,01-JUL-12 15:06:00,01-JUL-12 15:07:00,0,0,0,0,0.00K,0.00K,0.75,,40.74,-85.17,40.74,-85.17
386590,64618,Thunderstorm Wind,05-JUL-12 17:36:00,05-JUL-12 17:37:00,0,0,0,0,0.00K,0.00K,55.0,,41.08,-85.13,41.08,-85.13
386589,64618,Thunderstorm Wind,05-JUL-12 17:33:00,05-JUL-12 17:34:00,0,0,0,0,0.00K,0.00K,55.0,,41.11,-85.12,41.11,-85.12
386591,64618,Thunderstorm Wind,05-JUL-12 17:43:00,05-JUL-12 17:44:00,0,0,0,0,0.00K,0.00K,55.0,,41.1,-85.12,41.1,-85.12
391849,65448,Thunderstorm Wind,24-JUL-12 04:25:00,24-JUL-12 04:26:00,0,0,0,0,0.00K,0.00K,60.0,,40.49,-85.5,40.49,-85.5
354696,59281,Winter Weather,20-JAN-12 14:00:00,21-JAN-12 02:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354697,59281,Winter Weather,20-JAN-12 14:00:00,21-JAN-12 02:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354699,59281,Winter Weather,20-JAN-12 13:00:00,21-JAN-12 01:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354444,59222,Winter Weather,12-JAN-12 16:00:00,13-JAN-12 10:00:00,0,0,0,1,0.00K,0.00K,,,,,,
356300,59624,Thunderstorm Wind,22-JAN-12 23:30:00,22-JAN-12 23:30:00,0,0,0,0,0.00K,0.00K,50.0,,38.05,-87.37,38.05,-87.37
356192,59601,Winter Weather,12-JAN-12 15:00:00,12-JAN-12 23:00:00,0,0,0,0,0.00K,0.00K,,,,,,
357067,59803,Flood,28-JAN-12 09:00:00,31-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,37.9183,-87.9164,37.9244,-87.9076
386548,64613,Hail,01-JUL-12 15:05:00,01-JUL-12 15:06:00,0,0,0,0,0.00K,0.00K,1.0,,40.49,-85.15,40.49,-85.15
386551,64613,Hail,01-JUL-12 15:09:00,01-JUL-12 15:10:00,0,0,0,0,0.00K,0.00K,1.0,,40.74,-85.17,40.74,-85.17
386552,64613,Hail,01-JUL-12 15:57:00,01-JUL-12 15:58:00,0,0,0,0,0.00K,0.00K,0.75,,41.63,-84.93,41.63,-84.93
386555,64613,Thunderstorm Wind,01-JUL-12 13:28:00,01-JUL-12 13:29:00,0,0,0,0,0.00K,0.00K,55.0,,40.79,-86.12,40.79,-86.12
354698,59281,Winter Weather,20-JAN-12 13:00:00,21-JAN-12 01:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354700,59281,Winter Weather,20-JAN-12 13:00:00,20-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,,,,
354701,59281,Winter Weather,20-JAN-12 13:00:00,20-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,,,,
354702,59281,Winter Weather,20-JAN-12 14:00:00,20-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,,,,
354703,59281,Winter Weather,20-JAN-12 14:00:00,20-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,,,,
356193,59601,Winter Weather,12-JAN-12 15:00:00,12-JAN-12 23:00:00,0,0,0,0,0.00K,0.00K,,,,,,
356194,59601,Winter Weather,12-JAN-12 15:00:00,12-JAN-12 23:00:00,0,0,0,0,0.00K,0.00K,,,,,,
424543,70697,Winter Weather,29-DEC-12 02:35:00,29-DEC-12 05:55:00,0,3,0,0,0.00K,0.00K,,,,,,
354704,59281,Winter Weather,20-JAN-12 14:00:00,20-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,,,,
354705,59281,Winter Weather,20-JAN-12 14:00:00,21-JAN-12 01:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354694,59281,Winter Weather,20-JAN-12 14:00:00,21-JAN-12 02:00:00,0,0,0,0,0.00K,0.00K,,,,,,
420508,70053,Winter Weather,28-DEC-12 20:00:00,29-DEC-12 06:00:00,0,0,0,0,0.00K,0.00K,,,,,,
386556,64613,Thunderstorm Wind,01-JUL-12 12:46:00,01-JUL-12 12:47:00,0,0,0,0,0.00K,0.00K,60.0,,41.61,-86.72,41.61,-86.72
386560,64613,Thunderstorm Wind,01-JUL-12 13:09:00,01-JUL-12 13:10:00,0,0,0,0,0.00K,0.00K,55.0,,41.21,-86.6,41.21,-86.6
354487,59243,Winter Weather,19-JAN-12 05:00:00,19-JAN-12 12:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354691,59281,Winter Weather,20-JAN-12 13:00:00,21-JAN-12 01:00:00,0,0,0,0,0.00K,0.00K,,,,,,
386559,64613,Thunderstorm Wind,01-JUL-12 12:57:00,01-JUL-12 12:58:00,0,0,0,0,0.00K,0.00K,55.0,,41.3,-86.63,41.3,-86.63
386561,64613,Thunderstorm Wind,01-JUL-12 14:45:00,01-JUL-12 14:46:00,0,0,0,0,0.00K,0.00K,60.0,,41.19,-85.82,41.19,-85.82
354695,59281,Winter Weather,20-JAN-12 14:00:00,21-JAN-12 02:00:00,0,0,0,0,0.00K,0.00K,,,,,,
386563,64613,Thunderstorm Wind,01-JUL-12 14:50:00,01-JUL-12 14:51:00,0,0,0,0,0.00K,0.00K,55.0,,40.95,-85.99,40.95,-85.99
386564,64613,Thunderstorm Wind,01-JUL-12 14:53:00,01-JUL-12 14:54:00,0,0,0,0,0.00K,0.00K,60.0,,41.17,-85.84,41.17,-85.84
354484,59243,Winter Weather,19-JAN-12 05:00:00,19-JAN-12 12:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354490,59243,Winter Weather,19-JAN-12 06:00:00,19-JAN-12 13:00:00,0,0,0,0,0.00K,0.00K,,,,,,
386565,64613,Thunderstorm Wind,01-JUL-12 15:30:00,01-JUL-12 15:31:00,0,0,0,0,0.00K,0.00K,50.0,,41.72,-85.42,41.72,-85.42
