,DAY,DRUNK_DR,FATALS,HOUR,LATITUDE,LONGITUD,MINUTE,MONTH,STATE,YEAR
10045,4.0,0.0,1.0,15.0,39.74508611,-86.27549444,26.0,4.0,18.0,2011.0
10046,8.0,1.0,1.0,4.0,40.41016389,-86.86898333,20.0,4.0,18.0,2011.0
10047,10.0,1.0,1.0,2.0,38.73658333,-85.44081389,45.0,4.0,18.0,2011.0
10048,11.0,0.0,1.0,9.0,39.72828056,-85.80073333,0.0,4.0,18.0,2011.0
10049,10.0,0.0,1.0,19.0,41.51808889,-87.4716,15.0,4.0,18.0,2011.0
10050,14.0,0.0,1.0,10.0,41.23615556,-85.71889444,0.0,4.0,18.0,2011.0
10051,10.0,0.0,1.0,19.0,40.27751944,-85.78441667,37.0,4.0,18.0,2011.0
10052,13.0,0.0,1.0,18.0,39.76659722,-86.19330278,23.0,4.0,18.0,2011.0
10053,13.0,0.0,1.0,10.0,40.81031944,-84.93728333,15.0,4.0,18.0,2011.0
10054,11.0,0.0,1.0,8.0,39.71172222,-86.26916944,50.0,4.0,18.0,2011.0
10055,15.0,1.0,1.0,23.0,41.5062,-86.40781389,55.0,4.0,18.0,2011.0
10056,10.0,0.0,1.0,13.0,41.45260278,-85.30845278,0.0,4.0,18.0,2011.0
10057,10.0,1.0,1.0,4.0,39.24435556,-85.95485833,9.0,4.0,18.0,2011.0
10058,18.0,0.0,1.0,12.0,40.25123333,-87.43435,30.0,4.0,18.0,2011.0
10059,17.0,0.0,1.0,18.0,41.57635278,-87.04570833,43.0,4.0,18.0,2011.0
10060,14.0,0.0,1.0,6.0,41.57484167,-87.27036944,2.0,4.0,18.0,2011.0
10061,16.0,0.0,1.0,21.0,38.97595833,-86.927175,45.0,4.0,18.0,2011.0
10062,24.0,0.0,1.0,18.0,99.9999,999.9999,21.0,4.0,18.0,2011.0
10063,14.0,0.0,1.0,10.0,38.94966389,-85.91111111,24.0,4.0,18.0,2011.0
10064,23.0,1.0,1.0,18.0,41.59253056,-85.78245278,38.0,4.0,18.0,2011.0
10065,25.0,0.0,1.0,22.0,40.39583889,-85.49233889,54.0,4.0,18.0,2011.0
10066,16.0,0.0,1.0,18.0,39.50786667,-87.38609444,0.0,3.0,18.0,2011.0
10067,11.0,0.0,1.0,3.0,39.78965278,-86.128075,12.0,4.0,18.0,2011.0
10068,21.0,0.0,1.0,23.0,39.288275,-87.38877222,39.0,4.0,18.0,2011.0
10069,2.0,0.0,1.0,16.0,39.78070556,-86.20113333,16.0,4.0,18.0,2011.0
10070,30.0,0.0,1.0,10.0,40.59423889,-86.71275556,45.0,4.0,18.0,2011.0
