EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,RANGE,TOR_F_SCALE
536836,2014-07-01 01:35:00,39.6343,-86.1248,0,1000,0,0,2014-07-01 01:35:00,39.6343,-86.1248,88245,Thunderstorm Wind,0,0,56.0,1.6415268,
532354,2014-07-01 01:03:00,39.7508,-86.5371,0,0,0,0,2014-07-01 01:03:00,39.7508,-86.5371,88245,Thunderstorm Wind,0,0,56.0,2.2208892,
532357,2014-07-01 01:17:00,39.95,-86.62,0,20000,0,0,2014-07-01 01:17:00,39.95,-86.62,88245,Thunderstorm Wind,0,0,56.0,2.3818232,
532359,2014-07-01 01:24:00,39.85,-86.24,0,7000,0,0,2014-07-01 01:24:00,39.85,-86.24,88245,Thunderstorm Wind,0,0,65.0,2.3818232,
532361,2014-07-01 01:24:00,39.72,-86.29,0,0,0,0,2014-07-01 01:24:00,39.72,-86.29,88245,Thunderstorm Wind,0,0,62.0,0.8529502,
532369,2014-07-01 01:25:00,39.7206,-86.2251,0,7000,0,0,2014-07-01 01:25:00,39.7206,-86.2251,88245,Thunderstorm Wind,0,0,61.0,0.4184284,
532351,2014-07-01 01:00:00,40.0,-86.62,0,200,0,0,2014-07-01 01:00:00,40.0,-86.62,88245,Thunderstorm Wind,0,0,43.0,1.6862761328,
532355,2014-07-01 01:15:00,39.76,-86.38,0,65000,0,0,2014-07-01 01:15:00,39.76,-86.38,88245,Thunderstorm Wind,0,0,61.0,2.0438618,
536915,2014-07-26 06:05:00,40.14,-87.39,0,0,0,0,2014-07-26 06:07:00,40.14,-87.39,88249,Hail,0,0,1.0,1.4001258,
536918,2014-07-26 07:25:00,39.7325,-86.8216,0,0,0,0,2014-07-26 07:27:00,39.7325,-86.8216,88249,Hail,0,0,1.0,4.184284,
536919,2014-07-26 09:00:00,39.19,-86.16,0,0,0,0,2014-07-26 09:02:00,39.19,-86.16,88249,Hail,0,0,1.0,1.4001258,
536876,2014-07-14 14:12:00,40.18,-87.44,0,0,0,0,2014-07-14 14:12:00,40.18,-87.44,88248,Thunderstorm Wind,0,0,52.0,4.2003774,
536879,2014-07-14 14:27:00,40.13,-87.23,0,0,0,0,2014-07-14 14:27:00,40.13,-87.23,88248,Thunderstorm Wind,0,0,52.0,2.0277684,
536887,2014-07-14 15:12:00,39.64,-86.84,0,2000,0,0,2014-07-14 15:12:00,39.64,-86.84,88248,Thunderstorm Wind,0,0,42.0,1.4001258,
536908,2014-07-14 16:10:00,39.95,-86.02,0,500,0,0,2014-07-14 16:10:00,39.95,-86.02,88248,Thunderstorm Wind,0,0,52.0,2.2208892,
536909,2014-07-14 16:02:00,39.95,-86.14,0,0,0,0,2014-07-14 16:02:00,39.95,-86.14,88248,Thunderstorm Wind,0,0,52.0,0.8529502,
536890,2014-07-14 15:17:00,39.64,-86.84,0,5000,0,0,2014-07-14 15:17:00,39.64,-86.84,88248,Thunderstorm Wind,0,0,52.0,1.4001258,
536906,2014-07-14 15:53:00,39.71,-86.38,0,100,0,0,2014-07-14 15:53:00,39.71,-86.38,88248,Thunderstorm Wind,0,0,52.0,2.0438618,
593325,2015-08-04 15:25:00,37.8703,-87.2066,0,5000,0,0,2015-08-04 15:25:00,37.8703,-87.2066,98718,Thunderstorm Wind,0,0,52.0,1.60934,
187046,2009-08-11 15:51:00,40.78,-84.84,0,0,0,0,2009-08-11 15:52:00,40.78,-84.84,31844,Hail,0,0,0.75,0.8368568,
338924,2011-08-23 23:04:00,41.52,-85.7,0,0,0,0,2011-08-23 23:05:00,41.52,-85.7,56523,Hail,0,0,0.88,1.71720520704,
338925,2011-08-24 20:07:00,41.72,-86.03,0,0,0,0,2011-08-24 20:08:00,41.72,-86.03,56523,Hail,0,0,1.0,2.494477,
338926,2011-08-24 20:59:00,41.08,-85.13,0,0,0,0,2011-08-24 21:00:00,41.08,-85.13,56523,Hail,0,0,0.75,1.1104446,
338927,2011-08-24 21:00:00,41.08,-85.13,0,0,0,0,2011-08-24 21:01:00,41.08,-85.13,56523,Hail,0,0,1.0,1.1104446,
338928,2011-08-24 21:00:00,41.06,-85.16,0,0,0,0,2011-08-24 21:01:00,41.06,-85.16,56523,Thunderstorm Wind,0,0,50.0,2.011675,
340022,2011-07-24 03:11:00,40.5859,-85.3864,0,0,0,0,2011-07-24 06:30:00,40.6098,-85.4197,56747,Flash Flood,0,0,0.0,3.9589764,
626324,2016-05-10 20:46:00,41.12,-85.34,0,0,0,0,2016-05-10 23:15:00,40.92,-85.34,104570,Flash Flood,0,0,0.0,4.02335,
626325,2016-05-10 23:15:00,41.12,-85.34,0,0,0,0,2016-05-11 08:00:00,40.92,-85.34,104570,Flood,0,0,0.0,4.02335,
26241,2007-04-26 15:08:00,41.6789,-86.693,0,40000,0,0,2007-04-26 15:11:00,41.6833,-86.6853,3480,Tornado,0,0,0.0,3.0738394,EF1
26242,2007-04-26 15:18:00,41.7006,-86.6795,0,40000,0,0,2007-04-26 15:21:00,41.7047,-86.677,3480,Tornado,1,0,0.0,4.7797398,EF1
26239,2007-04-26 15:50:00,41.61,-86.68,0,0,0,0,2007-04-26 15:51:00,41.61,-86.68,3480,Hail,0,0,0.88,3.4439876,
26240,2007-04-26 18:42:00,41.36,-85.46,0,0,0,0,2007-04-26 18:43:00,41.36,-85.46,3480,Hail,0,0,0.88,4.5383388,
524473,2014-05-13 19:02:00,39.45,-85.67,0,0,0,0,2014-05-13 19:02:00,39.45,-85.67,86850,Thunderstorm Wind,0,0,52.0,1.6862761328,
524470,2014-05-13 18:32:00,39.3519,-85.9754,0,75000,0,0,2014-05-13 18:32:00,39.3519,-85.9754,86850,Thunderstorm Wind,0,0,65.0,0.5149888,
524474,2014-05-13 19:43:00,39.34,-85.48,0,0,0,0,2014-05-13 19:45:00,39.34,-85.48,86850,Hail,0,0,0.75,1.1104446,
524475,2014-05-13 18:50:00,39.4387,-85.779,0,10000,0,0,2014-05-13 18:50:00,39.4387,-85.779,86850,Thunderstorm Wind,0,0,61.0,2.2047958,
19127,2007-04-11 17:43:00,38.69,-85.78,0,0,0,0,2007-04-11 17:43:00,38.69,-85.78,3486,Thunderstorm Wind,0,0,50.0,1.4162192,
19128,2007-04-11 17:50:00,38.39,-85.92,0,2000,0,0,2007-04-11 17:50:00,38.39,-85.92,3486,Thunderstorm Wind,0,0,60.0,1.1104446,
19121,2007-04-11 16:00:00,38.32,-85.77,0,0,0,0,2007-04-11 16:00:00,38.32,-85.77,3486,Hail,0,0,1.0,1.71720520704,
19125,2007-04-11 16:39:00,38.03,-86.09,0,0,0,0,2007-04-11 16:39:00,38.03,-86.09,3486,Hail,0,0,1.0,0.8690436,
19126,2007-04-11 16:30:00,37.95,-86.76,0,0,0,0,2007-04-11 16:30:00,37.95,-86.76,3486,Thunderstorm Wind,0,0,60.0,0.885137,
249091,2010-07-18 12:45:00,41.68,-86.89,0,0,0,0,2010-07-18 12:46:00,41.68,-86.89,42692,Thunderstorm Wind,0,0,55.0,0.8368568,
460778,2013-07-02 15:55:00,40.48,-85.12,0,0,0,0,2013-07-02 15:56:00,40.48,-85.12,76424,Thunderstorm Wind,0,0,55.0,3.379614,
460780,2013-07-02 23:40:00,40.76,-85.87,0,0,0,0,2013-07-02 23:45:00,40.7541,-85.8204,76424,Flash Flood,0,0,0.0,2.7841582,
460777,2013-07-02 15:50:00,40.48,-85.17,0,0,0,0,2013-07-02 15:51:00,40.48,-85.17,76424,Thunderstorm Wind,0,0,55.0,2.8002516,
589760,2015-06-25 23:32:00,38.8446,-87.0082,1000,1000,0,0,2015-06-26 01:30:00,38.8439,-87.0081,98086,Flood,0,0,0.0,2.9289988,
454969,2013-05-31 01:37:00,41.75,-86.11,0,0,0,0,2013-05-31 01:38:00,41.75,-86.11,75305,Thunderstorm Wind,0,0,55.0,0.8368568,
5480680,2005-11-15 04:00:00,38.03,-87.6,0,0,0,0,2005-11-15 09:45:00,38.03,-87.6,1201572,Flash Flood,0,0,0.0,2.17697331186,
5480463,2005-11-15 03:29:00,38.1,-87.27,0,350000,0,0,2005-11-15 09:45:00,38.1,-87.27,1201572,Flash Flood,0,0,0.0,2.17697331186,
