,Unnamed: 0,DRUNK_DR,FATALS,LATITUDE,LONGITUD,STATE,DATE
395,13322,0.0,1.0,39.72605278,-86.26433889,18.0,2001-07-11
397,13324,0.0,1.0,39.89797778,-85.98501111,18.0,2001-07-13
409,13336,0.0,1.0,38.03133056,-86.12278889,18.0,2001-07-17
410,13337,0.0,2.0,39.552625,-85.77574722,18.0,2001-07-17
411,13338,0.0,1.0,38.49603056,-85.71342778,18.0,2001-07-18
412,13339,1.0,1.0,39.79131111,-86.436825,18.0,2001-07-18
413,13340,0.0,1.0,39.77906389,-86.15775,18.0,2001-07-18
414,13341,0.0,1.0,39.45771389,-85.79808889,18.0,2001-07-18
417,13344,1.0,1.0,39.83022778,-86.14479722,18.0,2001-07-20
419,13346,0.0,1.0,39.78997222,-86.27239444,18.0,2001-07-21
421,13348,0.0,1.0,39.04586111,-84.92406389,18.0,2001-07-22
422,13349,0.0,1.0,39.33871667,-84.91203056,18.0,2001-07-22
426,13353,0.0,1.0,38.86153889,-85.97108056,18.0,2001-07-24
428,13355,0.0,1.0,39.29316667,-85.4901,18.0,2001-07-26
429,13356,1.0,1.0,38.68524722,-85.80265,18.0,2001-07-26
430,13357,0.0,2.0,39.98780556,-86.74913333,18.0,2001-07-27
431,13358,0.0,1.0,39.54606389,-86.26431111,18.0,2001-07-27
433,13360,0.0,1.0,38.843425,-85.81670833,18.0,2001-07-29
434,13361,0.0,1.0,39.99227778,-85.78653333,18.0,2001-07-29
435,13362,1.0,3.0,37.95524444,-87.45016389,18.0,2001-07-29
436,13363,0.0,1.0,39.484,-85.9996,18.0,2001-07-30
437,13364,1.0,1.0,39.77206944,-86.26956944,18.0,2001-07-30
440,13367,0.0,1.0,39.69597222,-86.01802222,18.0,2001-07-31
445,13372,0.0,1.0,39.05573056,-85.17040833,18.0,2001-08-01
446,13373,0.0,1.0,37.97645833,-87.55879167,18.0,2001-08-01
448,13375,0.0,1.0,39.95763889,-85.93310278,18.0,2001-08-03
453,13380,0.0,1.0,39.52434444,-87.40629722,18.0,2001-08-04
454,13381,1.0,1.0,37.94866944,-87.41418611,18.0,2001-08-04
455,13382,0.0,1.0,39.96511667,-85.42326111,18.0,2001-08-05
458,13385,0.0,1.0,39.92689167,-86.08872222,18.0,2001-08-06
460,13387,1.0,1.0,39.41021667,-86.16092778,18.0,2001-08-06
462,13389,2.0,1.0,39.8055,-86.07408889,18.0,2001-08-06
463,13390,0.0,1.0,39.55311389,-85.74791111,18.0,2001-08-06
466,13393,0.0,1.0,39.99179444,-85.79335,18.0,2001-08-07
467,13394,1.0,1.0,38.69518889,-86.71915556,18.0,2001-08-07
472,13399,0.0,1.0,38.69713611,-85.78221667,18.0,2001-08-10
478,13405,0.0,3.0,39.95224722,-87.45174722,18.0,2001-08-11
479,13406,0.0,1.0,39.93165556,-86.33640278,18.0,2001-08-12
481,13408,0.0,1.0,38.67970278,-87.3278,18.0,2001-08-12
482,13409,1.0,1.0,39.78109444,-86.12125278,18.0,2001-08-12
484,13411,0.0,1.0,39.74948889,-86.09208889,18.0,2001-08-12
486,13413,1.0,2.0,39.56255556,-85.77622222,18.0,2001-08-12
487,13414,1.0,2.0,37.95326389,-87.44604167,18.0,2001-08-12
489,13416,0.0,1.0,38.7779,-87.04600556,18.0,2001-08-13
490,13417,1.0,1.0,39.06978333,-87.45625278,18.0,2001-08-14
492,13419,1.0,1.0,39.74081667,-85.98386667,18.0,2001-08-15
498,13425,0.0,1.0,39.89523056,-87.01587778,18.0,2001-08-17
500,13427,1.0,1.0,38.26402778,-86.35057222,18.0,2001-08-18
503,13430,1.0,1.0,38.44165278,-85.77408333,18.0,2001-08-19
507,13434,0.0,1.0,38.59461389,-86.457625,18.0,2001-08-20
508,13435,0.0,4.0,39.26871667,-85.77156389,18.0,2001-08-21
509,13436,0.0,1.0,39.03726944,-85.88308056,18.0,2001-08-21
510,13437,0.0,1.0,39.801975,-85.99686111,18.0,2001-08-21
511,13438,0.0,1.0,38.36710833,-85.967625,18.0,2001-08-22
512,13439,0.0,1.0,38.25456944,-87.39148333,18.0,2001-08-22
514,13441,1.0,1.0,38.61711389,-85.78186111,18.0,2001-08-22
516,13443,1.0,1.0,39.05954722,-84.90886389,18.0,2001-08-25
519,13446,0.0,1.0,39.78158889,-86.05717778,18.0,2001-08-26
522,13449,0.0,1.0,39.64933056,-86.19322222,18.0,2001-08-27
523,13450,1.0,1.0,38.04122778,-87.35678056,18.0,2001-08-27
525,13452,1.0,1.0,38.41956667,-86.15033333,18.0,2001-08-28
526,13453,0.0,1.0,38.06585833,-87.50782222,18.0,2001-08-28
527,13454,0.0,1.0,37.95328333,-87.37787222,18.0,2001-08-28
528,13455,0.0,1.0,39.765625,-86.16738611,18.0,2001-08-29
529,13456,0.0,1.0,39.12178056,-86.502425,18.0,2001-08-29
530,13457,0.0,1.0,38.42546111,-85.72166944,18.0,2001-08-30
531,13458,0.0,1.0,39.686325,-86.45498333,18.0,2001-08-30
532,13459,1.0,1.0,38.70093333,-85.58210278,18.0,2001-08-30
533,13460,0.0,1.0,38.07333889,-87.57616667,18.0,2001-08-30
536,13463,1.0,1.0,37.94754167,-86.723,18.0,2001-08-31
538,13465,0.0,1.0,38.4102,-86.83890833,18.0,2001-09-01
540,13467,0.0,1.0,39.76075278,-86.661275,18.0,2001-09-02
542,13469,0.0,1.0,39.75560278,-84.81433056,18.0,2001-09-02
547,13474,1.0,1.0,38.95107778,-86.92698333,18.0,2001-09-04
549,13476,1.0,1.0,39.86215833,-86.10766389,18.0,2001-09-04
550,13477,0.0,1.0,39.71365,-86.13926944,18.0,2001-09-05
553,13480,0.0,1.0,39.98266389,-85.13241389,18.0,2001-09-06
560,13487,0.0,1.0,39.65750556,-86.12433611,18.0,2001-09-08
561,13488,0.0,1.0,39.89426389,-86.05252222,18.0,2001-09-08
562,13489,1.0,1.0,39.73755833,-86.13726667,18.0,2001-09-08
563,13490,0.0,1.0,39.68664444,-86.27998611,18.0,2001-09-09
564,13491,1.0,1.0,39.84290556,-86.93779444,18.0,2001-09-09
566,13493,0.0,1.0,39.80791389,-86.16280833,18.0,2001-09-03
568,13495,1.0,1.0,39.16061944,-84.82174722,18.0,2001-09-11
570,13497,0.0,1.0,39.68038333,-87.417275,18.0,2001-09-11
