EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
529948,87816,Thunderstorm Wind,2014-06-30 23:52:00,2014-06-30 23:53:00,0,0,0,0,0,0,60.0,41.45,-86.15,41.45,-86.15
529733,87366,Thunderstorm Wind,2014-06-18 13:42:00,2014-06-18 13:43:00,0,0,0,0,0,0,55.0,41.58,-85.83,41.58,-85.83
530498,87816,Tornado,2014-06-30 22:25:00,2014-06-30 22:28:00,0,0,0,0,0,0,0.0,41.4189,-86.6409,41.4317,-86.5472
538263,87819,Thunderstorm Wind,2014-07-01 00:30:00,2014-07-01 00:31:00,0,0,0,0,0,0,60.0,41.5,-85.38,41.5,-85.38
538289,87819,Thunderstorm Wind,2014-07-01 01:30:00,2014-07-01 01:31:00,0,0,0,0,0,0,65.0,40.66,-86.15,40.66,-86.15
538290,87819,Thunderstorm Wind,2014-07-01 00:37:00,2014-07-01 00:38:00,0,0,1,0,0,0,65.0,41.56,-85.24,41.56,-85.24
541237,89842,Hail,2014-09-05 16:50:00,2014-09-05 16:51:00,0,0,0,0,0,0,1.0,41.28,-86.05,41.28,-86.05
541238,89842,Hail,2014-09-05 16:51:00,2014-09-05 16:52:00,0,0,0,0,0,0,0.75,41.28,-86.05,41.28,-86.05
541239,89842,Hail,2014-09-05 16:55:00,2014-09-05 16:56:00,0,0,0,0,0,0,0.75,40.76,-87.04,40.76,-87.04
541240,89842,Hail,2014-09-05 17:14:00,2014-09-05 17:15:00,0,0,0,0,0,0,0.75,41.33,-85.7,41.33,-85.7
541241,89842,Hail,2014-09-05 17:20:00,2014-09-05 17:21:00,0,0,0,0,0,0,1.0,41.64,-85.42,41.64,-85.42
530786,87956,Thunderstorm Wind,2014-06-10 17:30:00,2014-06-10 17:30:00,0,0,0,0,1250,0,48.0,38.76,-87.31,38.76,-87.31
530792,87956,Flash Flood,2014-06-10 19:52:00,2014-06-10 22:00:00,0,0,0,0,1000,1000,0.0,40.0295,-87.4499,40.054,-87.4535
531259,87956,Tornado,2014-06-10 18:23:00,2014-06-10 18:24:00,0,0,0,0,0,0,0.0,38.9889,-86.94,38.9956,-86.9385
531493,87955,Tornado,2014-06-30 21:35:00,2014-06-30 21:41:00,0,0,0,0,15000,0,0.0,41.1863,-87.5263,41.1832,-87.4064
531593,87955,Tornado,2014-06-30 21:49:00,2014-06-30 21:55:00,0,0,0,0,500000,0,0.0,41.1888,-87.2757,41.2008,-87.1563
530499,87816,Tornado,2014-06-30 22:29:00,2014-06-30 22:32:00,0,0,0,0,0,0,0.0,41.4187,-86.5304,41.4318,-86.4666
529734,87366,Thunderstorm Wind,2014-06-18 13:50:00,2014-06-18 13:51:00,0,0,0,0,0,0,50.0,41.58,-85.78,41.58,-85.78
529735,87366,Thunderstorm Wind,2014-06-18 13:50:00,2014-06-18 13:51:00,0,0,0,0,0,0,55.0,41.67,-85.58,41.67,-85.58
538264,87819,Thunderstorm Wind,2014-07-01 00:56:00,2014-07-01 00:57:00,0,0,0,0,0,0,60.0,41.35,-85.14,41.35,-85.14
533740,88497,Hail,2014-07-27 15:18:00,2014-07-27 15:19:00,0,0,0,0,0,0,1.75,41.28,-85.61,41.28,-85.61
533746,88497,Hail,2014-07-27 15:28:00,2014-07-27 15:31:00,0,0,0,0,0,0,0.75,41.24,-85.08,41.24,-85.08
533747,88497,Hail,2014-07-27 15:43:00,2014-07-27 15:44:00,0,0,0,0,0,0,1.0,41.21,-84.97,41.21,-84.97
533748,88497,Hail,2014-07-27 15:54:00,2014-07-27 15:55:00,0,0,0,0,0,0,0.75,40.88,-85.5,40.88,-85.5
541870,90215,Hail,2014-10-07 10:00:00,2014-10-07 10:00:00,0,0,0,0,0,0,1.0,38.27,-87.15,38.27,-87.15
530521,87529,Thunderstorm Wind,2014-06-19 13:47:00,2014-06-19 13:47:00,0,0,0,0,4000,0,52.0,40.22,-85.77,40.22,-85.77
530530,87529,Thunderstorm Wind,2014-06-19 14:25:00,2014-06-19 14:25:00,0,0,0,0,1500,0,52.0,40.2823,-86.0411,40.2823,-86.0411
531594,87955,Tornado,2014-06-30 21:55:00,2014-06-30 21:56:00,0,0,0,0,10000,0,0.0,41.223,-87.128,41.224,-87.1099
